census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2023,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Tokyo Maki,547 Flinders Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,47,144.9565137522286,-37.8209790437,"{'lon': 144.9565137522286, 'lat': -37.8209790437}"
2023,6,578319,573333,Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Hero at ACMI,"Tenancy 8, Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,150,144.96994164279243,-37.817777826050005,"{'lon': 144.96994164279243, 'lat': -37.817777826050005}"
2023,6,578324,573333,"Tenancy 29, Transport Federation Square 2 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),Transport Hotel,"Tenancy 29, Ground 2 Swanston Street MELBOURNE VIC 3000",4520,"Pubs, Taverns and Bars",Seats - Outdoor,120,144.96994164279243,-37.817777826050005,"{'lon': 144.96994164279243, 'lat': -37.817777826050005}"
2023,11,103957,103957,517-537 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Grain Store,"Shop G2, Ground 517 Flinders Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,75,144.95648638781466,-37.819875445799994,"{'lon': 144.95648638781466, 'lat': -37.819875445799994}"
2023,11,103989,103989,532-536 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Shonan Kamakura,9 Katherine Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,43,144.9564351196,-37.82024151763663,"{'lon': 144.9564351196, 'lat': -37.82024151763663}"
2023,13,108060,108060,19-35 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Koffi Bar,Part Ground 31 Queen Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,16,144.9617788127255,-37.81822672415,"{'lon': 144.9617788127255, 'lat': -37.81822672415}"
2023,14,103172,103172,31-39 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),The Joint Bar,Level 1-2 35 Elizabeth Street MELBOURNE VIC 3000,4520,"Pubs, Taverns and Bars",Seats - Outdoor,46,144.96433442319747,-37.81742176045,"{'lon': 144.96433442319747, 'lat': -37.81742176045}"
2023,14,104003,104003,Q2 Tower 2-8 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Sushi Lian,"Shop 2, Ground 2 Queen Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,30,144.96271041415488,-37.8185876429,"{'lon': 144.96271041415488, 'lat': -37.8185876429}"
2023,15,103328,103328,River View House 274-282 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Rocket Burgers & Fries,2 Elizabeth Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Outdoor,7,144.96508581705,-37.817659955044626,"{'lon': 144.96508581705, 'lat': -37.817659955044626}"
2023,15,103942,103942,253-265 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Mock Turtle Degraves,34 Degraves Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,12,144.9659026789,-37.817063086367355,"{'lon': 144.9659026789, 'lat': -37.817063086367355}"
2023,16,103938,103938,Adelphi Hotel 187 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Nomad,"Unit 1, LwrGround 187 Flinders Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,130,144.9683751885,-37.81635841773196,"{'lon': 144.9683751885, 'lat': -37.81635841773196}"
2023,16,104018,104018,172-192 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Hub Flinders Street,Level 7 172 Flinders Street MELBOURNE VIC 3000,6712,Non-Residential Property Operators,Seats - Outdoor,32,144.96856313995937,-37.8166026714,"{'lon': 144.96856313995937, 'lat': -37.8166026714}"
2023,17,103920,103920,87-89 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Trinket,Part Gnd & Bmt 87 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,80,144.97139265375,-37.8154303940914,"{'lon': 144.97139265375, 'lat': -37.8154303940914}"
2023,17,103924,103924,107-109 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Bullrun,Ground 107 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,110,144.970834384,-37.815606546589706,"{'lon': 144.970834384, 'lat': -37.815606546589706}"
2023,17,103930,103930,141-143 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Coda Bar & Restaurant,Basement 141-143 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,80,144.96987987645002,-37.815797748853456,"{'lon': 144.96987987645002, 'lat': -37.815797748853456}"
2023,18,103918,103918,61-73 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cecconi's Flinders Lane,61 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,180,144.97251244573033,-37.8150648791,"{'lon': 144.97251244573033, 'lat': -37.8150648791}"
2023,18,108975,108975,1-9 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),Axil Coffee Roasters,Ground 1 Spring Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,16,144.97379180292722,-37.8149934539,"{'lon': 144.97379180292722, 'lat': -37.8149934539}"
2023,21,102106,102106,589-605 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Espresso Bar International,Part Ground 595 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,17,144.9552088785,-37.81937263384454,"{'lon': 144.9552088785, 'lat': -37.81937263384454}"
2023,21,579252,579252,559-587 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Poked,"Tenancy 8A-8B, 567 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,10,144.95572468102446,-37.8190200855,"{'lon': 144.95572468102446, 'lat': -37.8190200855}"
2023,35,105923,105923,281-283 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Alley Edition,20 Howey Place MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Outdoor,8,144.96522548615002,-37.81507422507663,"{'lon': 144.96522548615002, 'lat': -37.81507422507663}"
2023,35,109268,109268,Capitol Arcade 109-117 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Starbucks,117 Swanston Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,16,144.965780600956,-37.8150701808,"{'lon': 144.965780600956, 'lat': -37.8150701808}"
2023,36,102152,102152,162-168 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The George on Collins,"Shop B1, Basement 162 Collins Street MELBOURNE VIC 3000",4520,"Pubs, Taverns and Bars",Seats - Indoor,150,144.96784765085,-37.814502920035494,"{'lon': 144.96784765085, 'lat': -37.814502920035494}"
