id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: GIS_ID,Custom Field: DESCRIPTION_BIKE,Custom Field: ASSET_CLASS,Custom Field: ASSET_TYPE,Custom Field: MODEL_NO,Custom Field: MODEL_DESCR,Custom Field: DIVISION,Custom Field: COMPANY,Custom Field: CONDITION_RATING,Custom Field: EVALUATION_DATE,Custom Field: EASTING,Custom Field: NORTHING,Custom Field: UploadDate
1588706,21,"-37.79634595530032, 144.97422748848027","Station Street between Palmerston Street and Kay Street approximately 5m West of 52 Station Street, Carlton, 3053",,,,-37.79634596,144.97422748848027,,,0,Bicycle Rails,1,1,,,,,,1588706,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,2.5,30/4/2021,321642.52,5814847.61,14/8/2021
1546819,21,"-37.793339552821124, 144.97474762373434","Station Street between Kay Street and Princes Street approximately 5m West of 172 Station Street, Carlton, 3053",,,,-37.79333955,144.97474762373434,,,0,Bicycle Rails,1,1,,,,,,1546819,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,2.5,30/4/2021,321681.09,5815182.21,14/8/2021
1723240,21,"-37.80213082290917, 144.9603360263464","Pelham Street between Leicester Street and Barry Street approximately 12m North of Telstra Carlton Exchange, 183 Pelham Street, Carlton, 3053",,,,-37.80213082,144.9603360263464,,,0,Bicycle Rails,1,1,,,,,,1723240,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,3.12,30/4/2021,320433.34,5814179.08,14/8/2021
1752902,21,"-37.80100280923199, 144.96524258040276","Cardigan Street between Argyle Place North and Grattan Street approximately 4m SE of Centre Of Italian Studies, 247-249 Cardigan Street, Carlton, 3053",,,,-37.80100281,144.96524258040276,,,0,Bicycle Rails,1,1,,,,,,1752902,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,3.15,30/4/2021,320862.62,5814313.67,14/8/2021
1590953,21,"-37.801115145679816, 144.9654853864619","Cardigan Street between Argyle Place North and Grattan Street approximately 5m SW of 170-174 Cardigan Street, Carlton, 3053",,,,-37.80111515,144.9654853864619,,,0,Bicycle Rails,1,1,,,,,,1590953,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,2.18,30/4/2021,320884.27,5814301.67,14/8/2021
1755786,21,"-37.79908334212417, 144.96405619098593","Swanston Street between Grattan Street and Faraday Street approximately 29m West of E Dumpling, 740 Swanston Street, Carlton, 3053",,,,-37.79908334,144.96405619098593,,,0,Bicycle Rails,1,1,,,,,,1755786,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,4.59,30/4/2021,320753.52,5814524.39,14/8/2021
1074050,21,"-37.80658295258867, 144.9645625058307","Cardigan Street between Victoria Street and Queensberry Street approximately 22m South of 16 Cardigan Street, Carlton, 3053",,,,-37.80658295,144.9645625058307,,,0,Bicycle Rails,1,1,,,,,,1074050,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,3.14,30/4/2021,320816.23,5813693.16,14/8/2021
1528966,21,"-37.8031732246376, 144.9690075174207","Pelham Street between Rathdowne Street and Drummond Street approximately 28m West of Incolink, 1 Pelham Street, Carlton, 3053",,,,-37.80317322,144.9690075174207,,,0,Bicycle Rails,1,1,,,,,,1528966,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,2.34,30/4/2021,321199.35,5814080.04,14/8/2021
1755792,21,"-37.801595514781475, 144.96313664143062","Lincoln Square North between Swanston Street and Bouverie Street approximately 64m SW of Trinity College, Upper & Lower Ground, 715-721 Swanston Street, Carlton, 3053",,,,-37.80159551,144.96313664143062,,,0,Bicycle Rails,1,1,,,,,,1755792,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,4.59,30/4/2021,320678.63,5814243.86,14/8/2021
1755862,21,"-37.8041928653593, 144.9608650218944","Queensberry Street between Bouverie Street and Leicester Street approximately 6m SW of Queensberry Childrens Centre, Gnd & Flr1, 224-252 Queensberry Street, Carlton, 3053",,,,-37.80419287,144.9608650218944,,,0,Bicycle Rails,1,1,,,,,,1755862,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,4.59,30/4/2021,320484.91,5813951.28,14/8/2021
