id,map_id,address,descriptio,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: geo_shape,prop_id,Custom Field: addresspt1,Custom Field: addressp_1,asset_clas,asset_type,objectid,Unnamed: 27,addresspt_,asset_subt,model_desc,mcc_id,roadseg_id,Unnamed: 33,model_no
1252358,21,"-37.77939815716074, 144.9601599346738",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.77939816,144.9601599346738,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9601599346738, -37.77939815716074], ""type"": ""Point""}",0,39.94329877,175,Signage,Sign - Public Transport,19799,,108524,,Sign - Public Transport 1 Panel,1252358,22393,,P.16
1233941,21,"-37.79958533655315, 144.9576673729389",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79958534,144.9576673729389,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9576673729389, -37.79958533655315], ""type"": ""Point""}",0,53.64351101,290,Signage,Sign - Public Transport,28127,,633969,,Sign - Public Transport 1 Panel,1233941,22514,,P.16
1252544,21,"-37.789581766621325, 144.9688057046247",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.78958177,144.9688057046247,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9688057046247, -37.789581766621325], ""type"": ""Point""}",0,0.0,0,Signage,Sign - Public Transport,31096,,0,,Sign - Public Transport 1 Panel,1252544,22508,,P.16
1240839,21,"-37.79731310405415, 144.967955914192",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.7973131,144.9679559,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.967955914192, -37.79731310405415], ""type"": ""Point""}",0,10.9808405,336,Signage,Sign - Public Transport,37956,,103108,,Sign - Public Transport 1 Panel,1240839,20689,,P.16
1248457,21,"-37.80365281271108, 144.9564163595527",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80365281,144.9564163595527,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9564163595527, -37.80365281271108], ""type"": ""Point""}",0,18.16455397,21,Signage,Sign - Public Transport,38386,,589314,,Sign - Public Transport 1 Panel,1248457,20942,,P.16
1479426,21,"-37.79790612032, 144.9705713015547",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.79790612,144.9705713015547,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9705713015547, -37.79790612032], ""type"": ""Point""}",0,26.30246726,335,Signage,Sign - Public Transport,40180,,106271,,Sign - Public Transport 1 Panel,1479426,20563,,P.16
1249788,21,"-37.793726533289785, 144.94716743007305",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79372653,144.94716743007305,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.94716743007305, -37.793726533289785], ""type"": ""Point""}",0,44.2305064,237,Signage,Sign - Public Transport,2627,,100087,,Sign - Public Transport 1 Panel,1249788,20919,,P.16
1257205,21,"-37.805396239323905, 144.9520285962586",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80539624,144.9520285962586,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9520285962586, -37.805396239323905], ""type"": ""Point""}",0,11.15153124,93,Signage,Sign - Public Transport,11093,,533907,,Sign - Public Transport 1 Panel,1257205,20979,,P.16
1234310,21,"-37.790425430580804, 144.94352558479113",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79042543,144.94352558479113,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.94352558479113, -37.790425430580804], ""type"": ""Point""}",0,30.53653951,68,Signage,Sign - Public Transport,12044,,525732,,Sign - Public Transport 1 Panel,1234310,22425,,P.16
1241441,21,"-37.8003609261965, 144.97442342241808",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80036093,144.97442342241808,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.97442342241808, -37.8003609261965], ""type"": ""Point""}",0,11.93225984,159,Signage,Sign - Public Transport,15760,,106922,,Sign - Public Transport 1 Panel,1241441,20608,,P.16
1249814,21,"-37.79830746372871, 144.94633943083986",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79830746,144.94633943083986,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.94633943083986, -37.79830746372871], ""type"": ""Point""}",0,16.62867695,349,Signage,Sign - Public Transport,16213,,516357,,Sign - Public Transport 1 Panel,1249814,22517,,P.16
1240256,21,"-37.804633940884784, 144.9663703776215",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.80463394,144.9663703776215,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9663703776215, -37.804633940884784], ""type"": ""Point""}",0,5.94289029,342,Signage,Sign - Public Transport,16844,,522527,,Sign - Public Transport 1 Panel,1240256,20524,,P.16
1240314,21,"-37.80111524772101, 144.96674878780823",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.80111525,144.96674878780823,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.96674878780823, -37.80111524772101], ""type"": ""Point""}",0,5.22849577,179,Signage,Sign - Public Transport,17860,,106109,,Sign - Public Transport 1 Panel,1240314,20530,,P.16
1233408,21,"-37.79412896547033, 144.96811766271057",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79412897,144.96811766271057,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.96811766271057, -37.79412896547033], ""type"": ""Point""}",0,49.91185911,140,Signage,Sign - Public Transport,26046,,522611,,Sign - Public Transport 1 Panel,1233408,20538,,P.16
1251688,21,"-37.8032564323768, 144.9495344838827",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80325643,144.9495344838827,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9495344838827, -37.8032564323768], ""type"": ""Point""}",0,10.78174874,176,Signage,Sign - Public Transport,37223,,103419,,Sign - Public Transport 1 Panel,1251688,20992,,P.16
1251191,21,"-37.80299443103376, 144.94943962445097",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80299443,144.94943962445095,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.94943962445097, -37.80299443103376], ""type"": ""Point""}",0,13.28562306,115,Signage,Sign - Public Transport,40452,,107995,,Sign - Public Transport 1 Panel,1251191,20999,,P.16
1253133,21,"-37.792625873556105, 144.9707824588029",Sign - Public Transport 1 Panel Bus Stop Type 11,,,,-37.79262587,144.9707824588029,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9707824588029, -37.792625873556105], ""type"": ""Point""}",0,63.9429482,349,Signage,Sign - Public Transport,8772,,600791,,Sign - Public Transport 1 Panel,1253133,20643,,P.16
1579768,21,"-37.79540178497472, 144.95784312709472",Sign - Public Transport 1 Panel Bus Stop Type 1,,,,-37.79540178,144.95784312709472,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.95784312709472, -37.79540178497472], ""type"": ""Point""}",0,9.30560783,187,Signage,Sign - Public Transport,13613,,108458,,Sign - Public Transport 1 Panel,1579768,22363,,P.16
1252350,21,"-37.78171322662849, 144.95986499626397",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.78171323,144.95986499626397,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.95986499626397, -37.78171322662849], ""type"": ""Point""}",0,43.85386076,148,Signage,Sign - Public Transport,13819,,529140,,Sign - Public Transport 1 Panel,1252350,22386,,P.16
1579933,21,"-37.79854435502073, 144.95795135251927",Sign - Public Transport 1 Panel Bus Stop Type 1,,,,-37.79854436,144.95795135251927,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.95795135251927, -37.79854435502073], ""type"": ""Point""}",0,51.88217484,77,Signage,Sign - Public Transport,19870,,638052,,Sign - Public Transport 1 Panel,1579933,22514,,P.16
1233949,21,"-37.798108329885295, 144.9578453614485",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79810833,144.9578453614485,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9578453614485, -37.798108329885295], ""type"": ""Point""}",0,22.05054616,6,Signage,Sign - Public Transport,22726,,638052,,Sign - Public Transport 1 Panel,1233949,22514,,P.16
1247785,21,"-37.79497661521105, 144.9707989948912",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.79497662,144.9707989948912,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9707989948912, -37.79497661521105], ""type"": ""Point""}",0,30.59613969,327,Signage,Sign - Public Transport,23919,,623854,,Sign - Public Transport 1 Panel,1247785,20570,,P.16
1250696,21,"-37.797551357061536, 144.95245038881728",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79755136,144.95245038881728,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.95245038881728, -37.797551357061536], ""type"": ""Point""}",0,29.49941527,72,Signage,Sign - Public Transport,26825,,570634,,Sign - Public Transport 1 Panel,1250696,22690,,P.16
1257006,21,"-37.80566084284532, 144.9434254553253",Sign - Public Transport 1 Panel Bus Stop Type 13,,,,-37.80566084,144.9434254553253,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9434254553253, -37.80566084284532], ""type"": ""Point""}",0,3.55930387,210,Signage,Sign - Public Transport,27645,,108897,,Sign - Public Transport 1 Panel,1257006,21343,,P.16
