id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: addresspt1,Custom Field: addresspt_,Custom Field: addressp_1,Custom Field: bookable,Custom Field: dog_off_le,Custom Field: dog_prohib,Custom Field: event,Custom Field: full_name,Custom Field: geo_shape,Custom Field: level_1_na,Custom Field: level_2_na,Custom Field: level_3_na,Custom Field: no_smoking,Custom Field: prop_id,Custom Field: roadseg_id,Custom Field: sport,Custom Field: sustainabi,Custom Field: training,Custom Field: venue_recn,Custom Field: wedding,ref,num_spaces,safe_city,Geo Shape,night_only
,21,"-37.807949000136, 144.961167089897",Franklin Street between Swanston Street and Elizabeth Street,,,,-37.807949000136,144.961167089897,,,0,Taxi Ranks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,50,5,No,"{""coordinates"": [144.961167089897, -37.807949000136], ""type"": ""Point""}",No
,21,"-37.795976841954, 144.967873947464",Intersection of Lygon Street and Palmerston Street,,,,-37.795976841954,144.967873947464,,,0,Taxi Ranks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,63,4,No,"{""coordinates"": [144.967873947464, -37.795976841954], ""type"": ""Point""}",No
,21,"-37.794157205107, 144.948928782083",Royal Children's Hospital,,,,-37.794157205107,144.948928782083,,,0,Taxi Ranks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,69,9,No,"{""coordinates"": [144.948928782083, -37.794157205107], ""type"": ""Point""}",No
,21,"-37.800409226228, 144.964731537269",Grattan Street between Cardigan Street and Swanston Street,,,,-37.800409226228,144.964731537269,,,0,Taxi Ranks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,62,3,No,"{""coordinates"": [144.964731537269, -37.800409226228], ""type"": ""Point""}",No
,21,"-37.807765462287, 144.968441130705",Exhibition Street between La Trobe Street and Victoria Street,,,,-37.807765462287,144.968441130705,,,0,Taxi Ranks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,34,2,No,"{""coordinates"": [144.968441130705, -37.807765462287], ""type"": ""Point""}",No
,21,"-37.799458157772, 144.956007723164",Grattan Street between Flemington Road and Elizabeth Street,,,,-37.799458157772,144.956007723164,,,0,Taxi Ranks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,70,6,No,"{""coordinates"": [144.956007723164, -37.799458157772], ""type"": ""Point""}",No
,21,"-37.808019550582, 144.947483718061",Roden Street between Adderley Street and Spencer Street,,,,-37.808019550582,144.947483718061,,,0,Taxi Ranks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,61,5,No,"{""coordinates"": [144.947483718061, -37.808019550582], ""type"": ""Point""}",No
,21,"-37.80803193165, 144.955445459469",Peel Street between Dudley Street and Victoria Street,,,,-37.80803193165,144.955445459469,,,0,Taxi Ranks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,60,4,No,"{""coordinates"": [144.955445459469, -37.80803193165], ""type"": ""Point""}",No
,21,"-37.808054210289, 144.955752211867",Peel Street between Dudley Street and Victoria Street,,,,-37.808054210289,144.955752211867,,,0,Taxi Ranks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,59,5,No,"{""coordinates"": [144.955752211867, -37.808054210289], ""type"": ""Point""}",No
,21,"-37.807629761424, 144.962259426442",Franklin Street between Swanston Street and Elizabeth Street,,,,-37.807629761424,144.962259426442,,,0,Taxi Ranks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,51,6,No,"{""coordinates"": [144.962259426442, -37.807629761424], ""type"": ""Point""}",No
