id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: addresspt1,Custom Field: addresspt_,Custom Field: addressp_1,Custom Field: bookable,Custom Field: dog_off_le,Custom Field: dog_prohib,Custom Field: event,Custom Field: full_name,Custom Field: geo_shape,Custom Field: level_1_na,Custom Field: level_2_na,Custom Field: level_3_na,Custom Field: no_smoking,Custom Field: prop_id,Custom Field: roadseg_id,Custom Field: sport,Custom Field: sustainabi,Custom Field: training,Custom Field: venue_recn,Custom Field: wedding,ref,num_spaces,safe_city,Geo Shape,night_only
,21,"-37.820512744001, 144.9685541155",St Kilda Road between Yarra River and Southbank Boulevard,,,,-37.820512744001,144.9685541155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,No,"{""coordinates"": [144.9685541155, -37.820512744001], ""type"": ""Point""}",No
,21,"-37.845490589546, 144.979198541145",St Kilda Road between Commercial Road and Moubray Street,,,,-37.845490589546,144.979198541145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,10,No,"{""coordinates"": [144.979198541145, -37.845490589546], ""type"": ""Point""}",No
,21,"-37.811942007108, 144.963095593112",Lonsdale Street between Swanston Street and Elizabeth Street,,,,-37.811942007108,144.963095593112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2,No,"{""coordinates"": [144.963095593112, -37.811942007108], ""type"": ""Point""}",No
,21,"-37.807949000136, 144.961167089897",Franklin Street between Swanston Street and Elizabeth Street,,,,-37.807949000136,144.961167089897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5,No,"{""coordinates"": [144.961167089897, -37.807949000136], ""type"": ""Point""}",No
,21,"-37.823478512532, 144.98046718977",Olympic Boulevard between Punt Road and Batman Avenue,,,,-37.823478512532,144.98046718977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,12,No,"{""coordinates"": [144.98046718977, -37.823478512532], ""type"": ""Point""}",No
,21,"-37.795976841954, 144.967873947464",Intersection of Lygon Street and Palmerston Street,,,,-37.795976841954,144.967873947464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,4,No,"{""coordinates"": [144.967873947464, -37.795976841954], ""type"": ""Point""}",No
,21,"-37.816710786254, 144.962629155314",Collins Street between Elizabeth Street and Queen Street,,,,-37.816710786254,144.962629155314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,No,"{""coordinates"": [144.962629155314, -37.816710786254], ""type"": ""Point""}",No
,21,"-37.816063032295, 144.956588111225",Bourke Street between William Street and King Street,,,,-37.816063032295,144.956588111225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4,No,"{""coordinates"": [144.956588111225, -37.816063032295], ""type"": ""Point""}",No
,21,"-37.794157205107, 144.948928782083",Royal Children's Hospital,,,,-37.794157205107,144.948928782083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,9,No,"{""coordinates"": [144.948928782083, -37.794157205107], ""type"": ""Point""}",No
,21,"-37.814529682801, 144.962505987872",Bourke Street between Elizabeth Street and Queen Street,,,,-37.814529682801,144.962505987872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,8,No,"{""coordinates"": [144.962505987872, -37.814529682801], ""type"": ""Point""}",No
