id,map_id,address,descriptio,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: geo_shape,prop_id,Custom Field: addresspt1,Custom Field: addressp_1,asset_clas,asset_type,objectid,,addresspt_,asset_subt,model_desc,mcc_id,roadseg_id,,model_no
1231226,21,"-37.81548699581418, 144.9581794249902",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.815487,144.9581794249902,,,,1,1,0,,,,,,"{""coordinates"": [144.9581794249902, -37.81548699581418], ""type"": ""Point""}",0,21.56130407,83,Signage,Sign - Public Transport,600,,548056,,Sign - Public Transport 1 Panel,1231226,20184,,P.16
1232777,21,"-37.82191394843844, 144.95539345270072",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.82191395,144.95539345270072,,,,1,1,0,,,,,,"{""coordinates"": [144.95539345270072, -37.82191394843844], ""type"": ""Point""}",0,15.86043382,181,Signage,Sign - Public Transport,918,,103975,,Sign - Public Transport 1 Panel,1232777,22174,,P.16
1245491,21,"-37.81925793836065, 144.96137134270353",Sign - Public Transport 1 Panel Bus Stop Type 13,,,,-37.81925794,144.96137134270353,,,,1,1,0,,,,,,"{""coordinates"": [144.96137134270353, -37.81925793836065], ""type"": ""Point""}",0,20.83965494,92,Signage,Sign - Public Transport,10046,,627343,,Sign - Public Transport 1 Panel,1245491,20218,,P.16
1239427,21,"-37.823393054989104, 144.9697464050253",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.82339305,144.9697464050253,,,,1,1,0,,,,,,"{""coordinates"": [144.9697464050253, -37.823393054989104], ""type"": ""Point""}",0,17.58473113,291,Signage,Sign - Public Transport,10991,,566451,,Sign - Public Transport 1 Panel,1239427,22080,,P.16
1252358,21,"-37.77939815716074, 144.9601599346738",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.77939816,144.9601599346738,,,,1,1,0,,,,,,"{""coordinates"": [144.9601599346738, -37.77939815716074], ""type"": ""Point""}",0,39.94329877,175,Signage,Sign - Public Transport,19799,,108524,,Sign - Public Transport 1 Panel,1252358,22393,,P.16
1248655,21,"-37.83654500710552, 144.98680793880067",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.83654501,144.98680793880067,,,,1,1,0,,,,,,"{""coordinates"": [144.98680793880067, -37.83654500710552], ""type"": ""Point""}",0,17.18439679,89,Signage,Sign - Public Transport,20193,,107820,,Sign - Public Transport 1 Panel,1248655,22300,,P.16
1253844,21,"-37.81496421167442, 144.9523146850266",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.81496421,144.9523146850266,,,,1,1,0,,,,,,"{""coordinates"": [144.9523146850266, -37.81496421167442], ""type"": ""Point""}",0,25.38230139,242,Signage,Sign - Public Transport,20421,,611234,,Sign - Public Transport 1 Panel,1253844,20077,,P.16
1246971,21,"-37.81888176511253, 144.95412220092587",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.81888177,144.95412220092587,,,,1,1,0,,,,,,"{""coordinates"": [144.95412220092587, -37.81888176511253], ""type"": ""Point""}",0,14.34503015,58,Signage,Sign - Public Transport,21204,,579287,,Sign - Public Transport 1 Panel,1246971,20071,,P.16
1255226,21,"-37.85056307604563, 144.98401830869636",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.85056308,144.98401830869636,,,,1,1,0,,,,,,"{""coordinates"": [144.98401830869636, -37.85056307604563], ""type"": ""Point""}",0,0,0,Signage,Sign - Public Transport,22793,,0,,Sign - Public Transport 1 Panel,1255226,22479,,P.16
1239035,21,"-37.82824301520561, 144.97131044726999",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.82824302,144.97131044726999,,,,1,1,0,,,,,,"{""coordinates"": [144.97131044726999, -37.82824301520561], ""type"": ""Point""}",0,0,0,Signage,Sign - Public Transport,28118,,0,,Sign - Public Transport 1 Panel,1239035,22704,,P.16
1233941,21,"-37.79958533655315, 144.9576673729389",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79958534,144.9576673729389,,,,1,1,0,,,,,,"{""coordinates"": [144.9576673729389, -37.79958533655315], ""type"": ""Point""}",0,53.64351101,290,Signage,Sign - Public Transport,28127,,633969,,Sign - Public Transport 1 Panel,1233941,22514,,P.16
1252887,21,"-37.81313468607944, 144.9517210522907",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.81313469,144.9517210522907,,,,1,1,0,,,,,,"{""coordinates"": [144.9517210522907, -37.81313468607944], ""type"": ""Point""}",0,13.98277844,334,Signage,Sign - Public Transport,28440,,562944,,Sign - Public Transport 1 Panel,1252887,20030,,P.16
1252544,21,"-37.789581766621325, 144.9688057046247",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.78958177,144.9688057046247,,,,1,1,0,,,,,,"{""coordinates"": [144.9688057046247, -37.789581766621325], ""type"": ""Point""}",0,0,0,Signage,Sign - Public Transport,31096,,0,,Sign - Public Transport 1 Panel,1252544,22508,,P.16
1249156,21,"-37.83180250187986, 144.9717147014062",Sign - Public Transport 1 Panel Bus Stop Type 13,,,,-37.8318025,144.9717147014062,,,,1,1,0,,,,,,"{""coordinates"": [144.9717147014062, -37.83180250187986], ""type"": ""Point""}",0,0,0,Signage,Sign - Public Transport,31499,,0,,Sign - Public Transport 1 Panel,1249156,22467,,P.16
1239395,21,"-37.82357696553344, 144.97021045708078",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.82357697,144.97021045708078,,,,1,1,0,,,,,,"{""coordinates"": [144.97021045708078, -37.82357696553344], ""type"": ""Point""}",0,35.24283401,175,Signage,Sign - Public Transport,32385,,566451,,Sign - Public Transport 1 Panel,1239395,22466,,P.16
1235578,21,"-37.79828271711812, 144.9206180551749",Sign - Public Transport 1 Panel Bus Stop Type 12,,,,-37.79828272,144.9206180551749,,,,1,1,0,,,,,,"{""coordinates"": [144.9206180551749, -37.79828271711812], ""type"": ""Point""}",0,17.94134959,130,Signage,Sign - Public Transport,33087,,559172,,Sign - Public Transport 1 Panel,1235578,21845,,P.16
1231223,21,"-37.81389991110184, 144.95734143620206",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.81389991,144.95734143620206,,,,1,1,0,,,,,,"{""coordinates"": [144.95734143620206, -37.81389991110184], ""type"": ""Point""}",0,16.88512037,251,Signage,Sign - Public Transport,36659,,110101,,Sign - Public Transport 1 Panel,1231223,20185,,P.16
1236979,21,"-37.81689800649741, 144.9618384108209",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.81689801,144.9618384108209,,,,1,1,0,,,,,,"{""coordinates"": [144.9618384108209, -37.81689800649741], ""type"": ""Point""}",0,24.66895752,72,Signage,Sign - Public Transport,36738,,579386,,Sign - Public Transport 1 Panel,1236979,20114,,P.16
1240839,21,"-37.79731310405415, 144.967955914192",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.7973131,144.9679559,,,,1,1,0,,,,,,"{""coordinates"": [144.967955914192, -37.79731310405415], ""type"": ""Point""}",0,10.9808405,336,Signage,Sign - Public Transport,37956,,103108,,Sign - Public Transport 1 Panel,1240839,20689,,P.16
1248457,21,"-37.80365281271108, 144.9564163595527",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80365281,144.9564163595527,,,,1,1,0,,,,,,"{""coordinates"": [144.9564163595527, -37.80365281271108], ""type"": ""Point""}",0,18.16455397,21,Signage,Sign - Public Transport,38386,,589314,,Sign - Public Transport 1 Panel,1248457,20942,,P.16
1479426,21,"-37.79790612032, 144.9705713015547",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.79790612,144.9705713015547,,,,1,1,0,,,,,,"{""coordinates"": [144.9705713015547, -37.79790612032], ""type"": ""Point""}",0,26.30246726,335,Signage,Sign - Public Transport,40180,,106271,,Sign - Public Transport 1 Panel,1479426,20563,,P.16
