geo_point_2d,geo_shape,prop_id,no_smoking,level_1_na,addresspt1,event,full_name,addressp_1,training,dog_prohib,dog_off_le,venue_recn,addresspt,sport,promotion,bookable,level_3_na,wedding,roadseg_id,sustainabi,level_2_na
"{'lon': 144.98896595113547, 'lat': -37.81712741121574}","{'type': 'Feature', 'geometry': {'coordinates': [144.98896595113547, -37.81712741121574], 'type': 'Point'}, 'properties': {}}",0,N,Other Park Locations,29.98397741,Y,Other Park Locations:  Weedon Reserve,77,N,N,N,402,110017,,,Y,,N,21951,L,Weedon Reserve
"{'lon': 144.98293613155118, 'lat': -37.84257424668199}","{'type': 'Feature', 'geometry': {'coordinates': [144.98293613155118, -37.84257424668199], 'type': 'Point'}, 'properties': {}}",103756,N,Fawkner Park,0.0,N,Fawkner Park:  FP - Cordner_T1_T2_T3_F2_Ct3,0,N,N,N,1354,0,Y,,Y,,N,0,M,FP - Cordner_T1_T2_T3_F2_Ct3
"{'lon': 144.9554621837315, 'lat': -37.78557214679238}","{'type': 'Feature', 'geometry': {'coordinates': [144.9554621837315, -37.78557214679238], 'type': 'Point'}, 'properties': {}}",107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 6_Walker East_Ct2,0,N,N,N,277,0,Y,,Y,,N,0,L,RP - Lawn 6_Walker East_Ct2
"{'lon': 144.98286097598913, 'lat': -37.844590280668804}","{'type': 'Feature', 'geometry': {'coordinates': [144.98286097598913, -37.844590280668804], 'type': 'Point'}, 'properties': {}}",103756,N,Fawkner Park,0.0,Y,Fawkner Park:  FP - Lawn 21_T8_S3,0,Y,N,Y,67,0,Y,,Y,,N,0,M,FP - Lawn 21_T8_S3
"{'lon': 144.97660241098285, 'lat': -37.824601477463915}","{'type': 'Feature', 'geometry': {'coordinates': [144.97660241098285, -37.824601477463915], 'type': 'Point'}, 'properties': {}}",108615,N,Kings Domain,0.0,Y,Kings Domain:  KD - Lawn 9/Pillars of Wisdom,0,Y,N,N,184,0,,,Y,,Y,0,M,KD - Lawn 9/Pillars of Wisdom
"{'lon': 144.9875327281599, 'lat': -37.83069806878039}","{'type': 'Feature', 'geometry': {'coordinates': [144.9875327281599, -37.83069806878039], 'type': 'Point'}, 'properties': {}}",111334,N,Other Park Locations,12.70122202,Y,Other Park Locations:  Golden Elm Triangle Reserve,271,N,N,N,362,111334,,,Y,,N,0,L,Golden Elm Triangle Reserve
"{'lon': 144.97259992450503, 'lat': -37.802401778134914}","{'type': 'Feature', 'geometry': {'coordinates': [144.97259992450503, -37.802401778134914], 'type': 'Point'}, 'properties': {}}",108269,N,Carlton Gardens,0.0,N,Carlton Gardens:  CG - Lawn 5,0,N,N,N,23,0,,,Y,,Y,0,L,CG - Lawn 5
"{'lon': 144.98078613765418, 'lat': -37.81528866843271}","{'type': 'Feature', 'geometry': {'coordinates': [144.98078613765418, -37.81528866843271], 'type': 'Point'}, 'properties': {}}",103807,N,Fitzroy Gardens,80.84212407,N,Fitzroy Gardens:  FT- Lawn 28,213,Y,N,N,134,111452,,,Y,,Y,0,M,FT- Lawn 28
"{'lon': 144.97288564656475, 'lat': -37.823686748198114}","{'type': 'Feature', 'geometry': {'coordinates': [144.97288564656475, -37.823686748198114], 'type': 'Point'}, 'properties': {}}",108615,N,Kings Domain,0.0,Y,Kings Domain:  KD - Lawn 2,0,N,N,N,176,0,,,Y,,N,0,M,KD - Lawn 2
"{'lon': 144.9414879659226, 'lat': -37.805606405436144}","{'type': 'Feature', 'geometry': {'coordinates': [144.9414879659226, -37.805606405436144], 'type': 'Point'}, 'properties': {}}",110908,N,Other Park Locations,21.27300622,Y,Other Park Locations:  Railway & Miller St Reserve,321,N,N,N,386,110908,,,Y,,N,0,L,Railway & Miller St Reserve
